onset	duration	trial_type
0.0	11.720129699911922	scenes
14.000370699912338	25.736625600140542	scrambled
27.995473300106767	39.70339330006391	faces
41.99400210008031	53.70369170000777	objects
84.00076019996783	95.7036557001993	scenes
97.99999119993299	109.72014390025288	faces
111.9956555999816	123.67081890022382	objects
125.99513219995424	137.68738709995523	scrambled
153.9883528999053	165.6898354999721	scrambled
168.0108249001205	179.68757389998063	faces
182.00158030027524	193.68756330013275	scenes
195.9916926999577	207.7377760000527	objects
224.00017870031297	235.68809990026057	objects
237.99145320011309	249.65440270025283	scenes
251.99391660001123	263.6550695002079	faces
265.98886199994007	277.6548183001578	scrambled
